	date	lat	lon	depth	mw	magAFV-MEAN	magAFV-MAX	magAFV-DELTA	magAFV-SD	sB-MEAN	sB-MAX	sB-DELTA	sB-SD	PT-MEAN	PT-MAX	PT-DELTA	PT-SD	PD-MEAN	PD-MAX	PD-DELTA	PD-SD	PFS-MEAN	PFS-MAX	PFS-DELTA	PFS-SD	FP-MEAN	FP-MAX	FP-DELTA	FP-SD	EF-MEAN	EF-MAX	EF-DELTA	EF-SD	Kp-MEAN	Kp-MAX	Kp-DELTA	Kp-SD	DST-MEAN	DST-MAX	DST-DELTA	DST-SD
0	 1963-12-04 15:59:42.11 	-35.815	-102.868	10.0	6.24	3.669565217391304	5.0	2.7	0.7516253797354442	2.8000000000000003	3.9	2.2	0.6045283661289563					5.104166666666667	6.0	2.0	0.46576647131057164	434.3333333333333	440.0	15.0	5.027460822208421	1.9279166666666672	2.3	0.8599999999999999	0.21417138944772948	0.09043478260869565	1.04	1.52	0.4151393879920943	38.041666666666664	47.0	20.0	4.947367913887375	-17.708333333333332	-10.0	23.0	6.01793816104361
1	 1963-12-08 07:53:16.73 	46.281000000000006	153.2	20.0	5.67	3.6428571428571423	6.6	3.8999999999999995	0.8980932181969915	1.7000000000000002	5.5	5.0	1.2664912159190052					5.340909090909091	6.5	2.0	0.5852627337636215	429.90909090909093	440.0	90.0	19.861206722340224	1.9759090909090915	2.32	0.7799999999999998	0.26354107100013097	-0.2114285714285714	1.13	2.41	0.8494191292541374	16.708333333333332	30.0	30.0	11.42262882507185	-11.125	-5.0	14.0	4.954685968200029
2	 1963-12-11 17:08:18.53 	51.315	-179.33700000000002	60.0	5.67	4.62	4.9	0.6000000000000005	0.21679483388678822	1.04	1.4	0.5999999999999999	0.2509980079602226					14.988888888888887	43.0	32.0	10.52300390150603	316.6666666666667	322.0	12.0	5.291502622129181	2.9766666666666666	8.26	6.15	1.989962311200893	-0.10400000000000001	0.26	0.79	0.301711782998278	8.333333333333334	30.0	30.0	9.314162506012325	0.041666666666666664	10.0	16.0	3.676945408383416
3	 1963-12-18 06:40:08.01 	41.843999999999994	82.603	35.0	5.75	5.063157894736842	10.5	9.4	2.70826113264085	2.5315789473684216	5.7	5.4	1.5581515514576694					16.962500000000002	27.1	15.600000000000001	4.801069853598304	270.25	359.0	159.0	67.41322925257973	2.7741666666666673	6.99	5.84	1.9776048681404368	0.11421052631578947	1.97	2.81	0.8326751786959751	12.0	37.0	37.0	13.75247013385627	6.0	16.0	23.0	5.090485583739617
4	 1963-12-21 13:09:11.64 	16.172	119.76799999999999	44.9	5.91	3.0818181818181816	3.8	1.4	0.4468068527186704	1.8	2.4	1.0999999999999999	0.37682887362833545					7.375	7.5	0.5	0.22613350843332272	329.0	333.0	8.0	3.0451153135353137	1.5949999999999998	1.66	0.17999999999999994	0.0717951631695719	-0.2418181818181818	0.67	1.65	0.519496259501802	14.625	30.0	30.0	12.900328610576924	-9.25	-5.0	9.0	2.171955640511064
5	 1964-01-02 19:15:24.60 	-8.123	157.109	25.0	5.75	3.5375	4.9	3.3000000000000003	0.850990471514632	2.2416666666666667	3.8	2.4	0.6035522863173003					4.5	5.0	1.5	0.5107539184552492	497.125	500.0	15.0	5.391720706222926	2.22875	2.5	0.8500000000000001	0.2823705936777289	0.4029166666666666	1.5	2.8	0.732995516723146	34.125	43.0	23.0	7.461859542103896	-27.375	-21.0	13.0	3.6808848180129545
6	 1964-01-06 23:45:28.24 	50.887	157.22899999999998	55.0	6.17	4.176470588235294	6.4	4.1000000000000005	1.0520987428496824	1.9647058823529415	3.8	3.0999999999999996	0.8957826023027212					10.1	20.0	15.0	4.7033023113105275	282.25	325.0	75.0	24.787252666175856	1.732	4.22	3.59	1.1435705855829477	0.07529411764705882	0.64	1.03	0.3072482230839347	11.166666666666666	27.0	24.0	5.147111192036597	-6.625	6.0	25.0	7.705517503711221
7	 1964-01-12 12:45:47.57 	31.506	49.144	15.0	5.4													7.142857142857143	8.0	2.0	1.0690449676496974	308.57142857142856	315.0	10.0	3.779644730092272	1.3671428571428572	1.59	0.47	0.23185586655752932					14.583333333333334	27.0	24.0	7.033563427790613	-7.916666666666667	4.0	20.0	5.04688166026841
8	 1964-01-22 23:59:42.82 	-13.571	165.92700000000002	15.0	6.3																													26.666666666666668	40.0	23.0	7.087445524162498	-4.75	15.0	35.0	10.34723235417589
9	 1964-01-28 14:09:17.09 	36.48	70.947	195.5	6.6	7.760000000000001	8.8	2.6000000000000005	1.0114346246792227	2.9200000000000004	4.0	2.5	0.9576011695899289					4.0	7.0	5.0	2.29128784747792	476.0	500.0	40.0	18.33030277982336	1.8833333333333333	3.5	2.62	1.2242038228987853	1.166	1.84	1.4200000000000002	0.5959697978924772	36.625	40.0	7.0	3.104169706252767	-4.541666666666667	32.0	57.0	17.065039692603847
10	 1964-01-30 17:45:53.63 	37.408	30.029	15.0	5.45	3.4499999999999997	4.5	2.0	0.68044103344816	2.4833333333333334	6.7	5.8	2.2622260423456066					6.142857142857143	8.0	4.0	1.2761549390929883	368.42857142857144	378.0	25.0	8.829334225021887	1.6842857142857142	2.29	1.29	0.40604890627326445	0.245	0.86	1.81	0.6330481814206561	18.0	33.0	33.0	11.084654492468013	-6.041666666666667	-1.0	11.0	2.9411498293763576
11	 1964-02-07 12:58:54.67 	39.794000000000004	142.942	41.1	5.84																													23.875	30.0	20.0	6.095704118118937	-15.833333333333334	-11.0	19.0	4.896020270868333
